cluster_id,bc_unitType,presenceRatio
246,NON-SOMA,0.9615384615384616
247,MUA,0.7564102564102564
248,MUA,1.0
249,MUA,0.6794871794871795
250,MUA,1.0
251,MUA,0.8717948717948718
252,MUA,0.9743589743589745
253,NON-SOMA,1.0
254,MUA,0.9871794871794872
255,MUA,0.9102564102564102
256,GOOD,0.9743589743589745
257,NON-SOMA,1.0
258,MUA,1.0
259,MUA,1.0
260,GOOD,0.8717948717948718
261,MUA,1.0
262,NON-SOMA,1.0
263,NON-SOMA,0.9871794871794872
264,GOOD,1.0
265,MUA,1.0
266,MUA,1.0
267,MUA,1.0
268,NON-SOMA,1.0
269,GOOD,1.0
270,MUA,0.3461538461538461
271,MUA,0.358974358974359
272,GOOD,0.7435897435897436
273,MUA,1.0
274,MUA,0.4358974358974359
275,MUA,1.0
276,NON-SOMA,1.0
277,MUA,1.0
278,MUA,1.0
279,MUA,0.2948717948717949
280,MUA,0.8974358974358975
281,MUA,0.7435897435897436
282,MUA,1.0
283,MUA,1.0
284,MUA,1.0
285,NOISE,
286,MUA,1.0
287,MUA,0.6410256410256411
288,NON-SOMA,1.0
289,GOOD,0.8333333333333334
290,NON-SOMA,1.0
291,MUA,1.0
292,MUA,1.0
293,MUA,1.0
294,MUA,1.0
295,MUA,1.0
296,MUA,1.0
297,NON-SOMA,1.0
298,MUA,1.0
299,NON-SOMA,0.9743589743589745
300,NOISE,0.0641025641025641
301,MUA,0.8205128205128205
302,MUA,1.0
303,MUA,1.0
304,MUA,1.0
305,MUA,0.1794871794871795
306,MUA,0.6153846153846154
307,NOISE,0.1538461538461538
308,NON-SOMA,1.0
309,MUA,0.2307692307692307
310,MUA,0.7692307692307693
311,GOOD,1.0
312,MUA,1.0
313,MUA,1.0
314,MUA,1.0
315,NOISE,0.141025641025641
316,MUA,1.0
317,NON-SOMA,1.0
318,NON-SOMA,1.0
319,NOISE,1.0
320,MUA,1.0
321,MUA,0.2948717948717949
322,NON-SOMA,1.0
323,MUA,0.5384615384615384
324,MUA,1.0
325,MUA,0.3076923076923077
326,MUA,0.9871794871794872
327,GOOD,0.7307692307692307
328,NON-SOMA,1.0
329,MUA,1.0
330,NON-SOMA,1.0
331,MUA,1.0
332,MUA,0.9487179487179488
333,MUA,0.9871794871794872
334,MUA,1.0
335,MUA,0.9871794871794872
336,MUA,0.717948717948718
337,MUA,0.3717948717948718
338,MUA,0.7948717948717948
339,MUA,1.0
340,MUA,0.3846153846153846
341,MUA,0.9487179487179488
342,NON-SOMA,1.0
343,MUA,0.8974358974358975
344,MUA,0.358974358974359
345,NON-SOMA,0.9487179487179488
346,MUA,0.9615384615384616
347,MUA,0.935897435897436
348,NON-SOMA,1.0
349,MUA,0.5
350,MUA,0.9102564102564102
351,MUA,1.0
352,GOOD,1.0
353,MUA,1.0
354,NON-SOMA,0.7307692307692307
355,GOOD,1.0
356,GOOD,0.9102564102564102
357,GOOD,0.9487179487179488
358,GOOD,0.9230769230769232
359,MUA,0.6153846153846154
360,GOOD,1.0
361,MUA,1.0
362,NON-SOMA,1.0
363,GOOD,0.8076923076923077
364,MUA,0.8076923076923077
365,NOISE,0.2307692307692307
366,MUA,0.2564102564102564
367,MUA,1.0
368,NON-SOMA,1.0
369,NON-SOMA,1.0
370,GOOD,1.0
371,MUA,1.0
372,GOOD,1.0
373,NON-SOMA,1.0
374,GOOD,0.9871794871794872
375,GOOD,1.0
376,NOISE,0.9743589743589745
377,MUA,1.0
378,MUA,1.0
379,MUA,1.0
380,NON-SOMA,0.3717948717948718
381,NOISE,1.0
382,MUA,1.0
383,NON-SOMA,1.0
384,MUA,0.6794871794871795
385,MUA,1.0
386,NON-SOMA,0.9615384615384616
387,GOOD,0.9487179487179488
388,MUA,0.5128205128205128
389,NOISE,1.0
390,MUA,1.0
391,NON-SOMA,0.8076923076923077
392,MUA,0.6025641025641025
393,NON-SOMA,0.8205128205128205
394,GOOD,0.9102564102564102
395,MUA,0.6282051282051282
396,MUA,1.0
397,NON-SOMA,1.0
398,GOOD,1.0
399,GOOD,1.0
400,MUA,0.9743589743589745
401,MUA,1.0
402,GOOD,0.7435897435897436
403,GOOD,1.0
404,MUA,0.4615384615384615
405,MUA,0.6538461538461539
406,MUA,1.0
407,MUA,0.358974358974359
408,GOOD,0.7435897435897436
409,NON-SOMA,0.8589743589743589
410,NON-SOMA,0.8333333333333334
411,MUA,1.0
412,MUA,0.9743589743589745
413,NON-SOMA,1.0
414,NON-SOMA,1.0
415,GOOD,0.9487179487179488
416,GOOD,1.0
417,MUA,1.0
418,NOISE,0.9230769230769232
419,NON-SOMA,0.1282051282051282
420,MUA,0.6923076923076923
421,GOOD,0.9615384615384616
422,MUA,1.0
423,NON-SOMA,0.717948717948718
424,MUA,0.282051282051282
425,NON-SOMA,1.0
426,NOISE,1.0
427,GOOD,0.8717948717948718
428,GOOD,0.7948717948717948
429,MUA,0.9230769230769232
430,MUA,1.0
431,GOOD,0.9230769230769232
432,GOOD,0.8205128205128205
433,NON-SOMA,1.0
434,NON-SOMA,1.0
435,GOOD,0.782051282051282
436,GOOD,0.7307692307692307
437,MUA,0.935897435897436
438,GOOD,0.935897435897436
439,NOISE,1.0
440,NOISE,1.0
441,NOISE,1.0
442,NOISE,1.0
443,NON-SOMA,1.0
444,NON-SOMA,1.0
445,MUA,0.6666666666666666
446,MUA,1.0
447,MUA,1.0
448,MUA,1.0
449,GOOD,1.0
450,MUA,1.0
451,GOOD,1.0
452,MUA,0.8076923076923077
453,GOOD,0.782051282051282
454,NON-SOMA,1.0
455,NON-SOMA,1.0
456,MUA,1.0
457,MUA,1.0
458,NOISE,1.0
459,NOISE,1.0
460,MUA,1.0
461,MUA,1.0
462,MUA,1.0
463,NON-SOMA,1.0
464,MUA,0.5641025641025641
465,MUA,1.0
466,GOOD,1.0
467,MUA,0.935897435897436
468,GOOD,1.0
469,MUA,1.0
470,GOOD,1.0
471,MUA,1.0
472,NON-SOMA,1.0
473,MUA,1.0
474,NON-SOMA,0.8333333333333334
475,NON-SOMA,1.0
476,MUA,0.7051282051282052
477,MUA,0.9871794871794872
478,MUA,1.0
479,GOOD,0.8589743589743589
480,MUA,0.6923076923076923
481,MUA,1.0
482,NON-SOMA,1.0
483,GOOD,0.9615384615384616
484,MUA,1.0
485,MUA,1.0
486,MUA,1.0
487,MUA,1.0
488,GOOD,1.0
489,MUA,1.0
490,NOISE,0.8205128205128205
491,MUA,1.0
492,NON-SOMA,1.0
493,MUA,1.0
494,NOISE,1.0
495,NON-SOMA,0.7692307692307693
496,MUA,0.8205128205128205
497,GOOD,0.8846153846153846
498,MUA,1.0
499,NOISE,0.9102564102564102
500,MUA,1.0
501,NON-SOMA,0.1666666666666666
502,NON-SOMA,0.2307692307692307
503,NON-SOMA,1.0
504,NON-SOMA,1.0
505,MUA,1.0
506,NON-SOMA,1.0
507,MUA,1.0
508,NOISE,1.0
509,NON-SOMA,1.0
510,MUA,1.0
511,MUA,1.0
512,MUA,1.0
513,MUA,0.935897435897436
514,NON-SOMA,1.0
515,NOISE,1.0
516,MUA,1.0
517,MUA,0.9230769230769232
518,MUA,1.0
519,MUA,0.5256410256410257
520,MUA,0.9487179487179488
521,MUA,1.0
522,NON-SOMA,0.9615384615384616
523,MUA,0.9871794871794872
524,MUA,0.9743589743589745
525,MUA,1.0
526,NOISE,0.9743589743589745
527,NOISE,1.0
528,NON-SOMA,1.0
529,NON-SOMA,1.0
530,NON-SOMA,1.0
531,MUA,1.0
532,MUA,1.0
533,NOISE,1.0
534,MUA,1.0
535,NON-SOMA,1.0
536,NON-SOMA,0.9871794871794872
537,NOISE,1.0
538,NOISE,1.0
539,NOISE,1.0
540,NOISE,1.0
541,NOISE,1.0
542,MUA,1.0
543,NON-SOMA,1.0
544,NOISE,
545,NON-SOMA,0.9871794871794872
546,NOISE,0.1282051282051282
547,MUA,1.0
548,NOISE,1.0
549,MUA,0.0128205128205128
550,NOISE,0.9102564102564102
551,NOISE,0.9230769230769232
552,NON-SOMA,1.0
553,NON-SOMA,1.0
554,NOISE,1.0
555,NOISE,1.0
556,NON-SOMA,0.7692307692307693
557,NOISE,1.0
558,NOISE,1.0
559,NON-SOMA,1.0
560,NON-SOMA,1.0
561,MUA,1.0
562,NON-SOMA,1.0
563,NOISE,1.0
564,NOISE,1.0
565,NOISE,0.9871794871794872
566,MUA,1.0
567,NOISE,1.0
568,MUA,1.0
569,NOISE,1.0
570,MUA,0.0128205128205128
571,MUA,1.0
572,NOISE,1.0
573,NOISE,1.0
574,NOISE,1.0
575,NOISE,1.0
576,MUA,0.7692307692307693
577,NON-SOMA,0.1666666666666666
578,NON-SOMA,1.0
579,NOISE,1.0
580,NOISE,1.0
581,NOISE,
582,NOISE,1.0
583,NOISE,0.9487179487179488
584,NOISE,1.0
585,NOISE,1.0
586,NOISE,1.0
