"","area","structure_id_path"
"108","Cortex","/997/8/567/688/695/315/1057/"
"109","Cortex","/997/8/567/688/695/315/1057/36/"
"110","Cortex","/997/8/567/688/695/315/1057/180/"
"111","Cortex","/997/8/567/688/695/315/1057/148/"
"112","Cortex","/997/8/567/688/695/315/1057/187/"
"113","Cortex","/997/8/567/688/695/315/1057/638/"
"114","Cortex","/997/8/567/688/695/315/1057/662/"
"115","Cortex","/997/8/567/688/695/315/677/"
"116","Cortex","/997/8/567/688/695/315/677/897/"
"117","Cortex","/997/8/567/688/695/315/677/1106/"
"118","Cortex","/997/8/567/688/695/315/677/1010/"
"119","Cortex","/997/8/567/688/695/315/677/1058/"
"120","Cortex","/997/8/567/688/695/315/677/857/"
"121","Cortex","/997/8/567/688/695/315/677/849/"
"122","AUD","/997/8/567/688/695/315/247/"
"123","AUD","/997/8/567/688/695/315/247/1011/"
"124","AUD","/997/8/567/688/695/315/247/1011/527/"
"125","AUD","/997/8/567/688/695/315/247/1011/600/"
"126","AUD","/997/8/567/688/695/315/247/1011/678/"
"127","AUD","/997/8/567/688/695/315/247/1011/252/"
"128","AUD","/997/8/567/688/695/315/247/1011/156/"
"129","AUD","/997/8/567/688/695/315/247/1011/243/"
"130","AUD","/997/8/567/688/695/315/247/1011/480149230/"
"131","AUD","/997/8/567/688/695/315/247/1011/480149230/480149234/"
"132","AUD","/997/8/567/688/695/315/247/1011/480149230/480149238/"
"133","AUD","/997/8/567/688/695/315/247/1011/480149230/480149242/"
"134","AUD","/997/8/567/688/695/315/247/1011/480149230/480149246/"
"135","AUD","/997/8/567/688/695/315/247/1011/480149230/480149250/"
"136","AUD","/997/8/567/688/695/315/247/1011/480149230/480149254/"
"137","AUD","/997/8/567/688/695/315/247/1002/"
"138","AUD","/997/8/567/688/695/315/247/1002/735/"
"139","AUD","/997/8/567/688/695/315/247/1002/251/"
"140","AUD","/997/8/567/688/695/315/247/1002/816/"
"141","AUD","/997/8/567/688/695/315/247/1002/847/"
"142","AUD","/997/8/567/688/695/315/247/1002/954/"
"143","AUD","/997/8/567/688/695/315/247/1002/1005/"
"144","AUD","/997/8/567/688/695/315/247/1027/"
"145","AUD","/997/8/567/688/695/315/247/1027/696/"
"146","AUD","/997/8/567/688/695/315/247/1027/643/"
"147","AUD","/997/8/567/688/695/315/247/1027/759/"
"148","AUD","/997/8/567/688/695/315/247/1027/791/"
"149","AUD","/997/8/567/688/695/315/247/1027/249/"
"150","AUD","/997/8/567/688/695/315/247/1027/456/"
"151","AUD","/997/8/567/688/695/315/247/1018/"
"152","AUD","/997/8/567/688/695/315/247/1018/959/"
"153","AUD","/997/8/567/688/695/315/247/1018/755/"
"154","AUD","/997/8/567/688/695/315/247/1018/990/"
"155","AUD","/997/8/567/688/695/315/247/1018/1023/"
